Лемма ;Частота (ipm) ;Ранг ;
неподвижный;18.авг;5169;
новогодний;18.авг;5170;
садовый;18.авг;5173;
локальный;18.июл;5177;
резиновый;18.июл;5189;
кавказский;18.июн;5203;
престижный;18.июн;5209;
турецкий;18.июн;5216;
казенный;18.май;5223;
саратовский;18.май;5234;
бесполезный;18.апр;5239;
молочный;18.апр;5247;
трезвый;18.апр;5256;
цивилизованный;18.апр;5261;
властный;18.мар;5263;
иркутский;18.мар;5271;
кривой;18.мар;5272;
потребительский;18.мар;5279;
ручной;18.мар;5285;
сомнительный;18.мар;5287;
отвратительный;18.фев;5298;
пышный;18.фев;5301;
аналитический;18.янв;5307;
входной;18.янв;5309;
колючий;18.янв;5313;
неверный;18.янв;5316;
офицерский;18.янв;5318;
пыльный;18.янв;5326;
радикальный;18.янв;5327;
немыслимый;18.0;5342;
шахматный;18.0;5354;
дежурный;17.сен;5355;
пестрый;17.сен;5359;
пищевой;17.сен;5361;
энергичный;17.сен;5369;
адекватный;17.авг;5371;
инженерный;17.авг;5378;
пожарный;17.авг;5388;
вертикальный;17.июл;5395;
киевский;17.июл;5400;
крошечный;17.июл;5402;
минеральный;17.июл;5406;
акционерный;17.июн;5423;
былой;17.июн;5424;
должный;17.июн;5432;
следственный;17.июн;5445;
невинный;17.май;5458;
повседневный;17.май;5463;
слышный;17.май;5464;
смутный;17.май;5465;
тюремный;17.май;5472;
финский;17.май;5473;
импортный;17.апр;5478;
клинический;17.апр;5480;
процентный;17.апр;5489;
индийский;17.мар;5500;
мутный;17.мар;5503;
нехороший;17.мар;5504;
системный;17.мар;5514;
географический;17.фев;5522;
классный;17.фев;5525;
тверской;17.фев;5538;
промежуточный;17.янв;5553;
дипломатический;17.0;5564;
лагерный;17.0;5566;
полноценный;17.0;5569;
прохладный;17.0;5573;
субъективный;17.0;5575;
аккуратный;16.сен;5580;
легендарный;16.сен;5585;
людской;16.сен;5586;
люсин;16.сен;5587;
предельный;16.сен;5592;
здравый;16.авг;5611;
органический;16.авг;5616;
порядочный;16.авг;5619;
прикладной;16.авг;5621;
примитивный;16.авг;5622;
растительный;16.авг;5625;
чайный;16.авг;5631;
возрастной;16.июл;5635;
долгосрочный;16.июл;5639;
лысый;16.июл;5645;
провинциальный;16.июл;5658;
смертельный;16.июл;5659;
футбольный;16.июл;5662;
хрупкий;16.июл;5663;
ежегодный;16.июн;5668;
колоссальный;16.июн;5673;
вероятный;16.май;5689;
запасной;16.май;5693;
парадный;16.май;5701;
питерский;16.май;5703;
прогрессивный;16.май;5706;
видимый;16.апр;5713;
организованный;16.апр;5728;
пограничный;16.апр;5730;
декоративный;16.мар;5746;
добровольный;16.мар;5748;
латинский;16.мар;5754;
недоступный;16.мар;5757;
грузовой;16.фев;5780;
зрительный;16.фев;5783;
параллельный;16.фев;5789;
сознательный;16.фев;5798;
страстный;16.фев;5799;
умственный;16.фев;5802;
бетонный;16.янв;5803;
ответный;16.янв;5817;
рыбный;16.янв;5822;
ветхий;16.0;5831;
лунный;16.0;5837;
молоденький;16.0;5839;
нелегкий;16.0;5841;
неудачный;16.0;5842;
ничтожный;16.0;5843;
отдаленный;16.0;5846;
последовательный;16.0;5853;
фирменный;16.0;5862;
экспертный;16.0;5865;
абстрактный;15.сен;5866;
агрессивный;15.сен;5867;
вторичный;15.сен;5869;
оборонный;15.сен;5880;
персональный;15.сен;5882;
послевоенный;15.сен;5886;
блаженный;15.авг;5896;
лекарственный;15.авг;5905;
подозрительный;15.авг;5911;
сказочный;15.авг;5913;
столовый;15.авг;5914;
алюминиевый;15.июл;5917;
гибкий;15.июл;5925;
заданный;15.июл;5929;
капитальный;15.июл;5932;
металлургический;15.июл;5934;
тепловой;15.июл;5946;
благополучный;15.июн;5950;
интимный;15.июн;5960;
материнский;15.июн;5961;
оранжевый;15.июн;5970;
соленый;15.июн;5983;
зенитный;15.май;5995;
линейный;15.май;6000;
белорусский;15.апр;6018;
босой;15.апр;6020;
ежедневный;15.апр;6021;
пустынный;15.апр;6031;
огненный;15.мар;6050;
шелковый;15.мар;6066;
больничный;15.фев;6068;
бронзовый;15.фев;6069;
всяческий;15.фев;6073;
выходной;15.фев;6075;
заводской;15.фев;6078;
излишний;15.фев;6080;
пластиковый;15.фев;6095;
родительский;15.фев;6099;
убедительный;15.фев;6107;
кирпичный;15.янв;6119;
пространственный;15.янв;6132;
тоненький;15.янв;6141;
грядущий;15.0;6147;
командный;15.0;6151;
подмосковный;15.0;6158;
сравнительный;15.0;6164;
сходный;15.0;6165;
беременный;14.сен;6173;
грамотный;14.сен;6174;
достоверный;14.сен;6176;
количественный;14.сен;6178;
конструктивный;14.сен;6179;
ударный;14.сен;6200;
героический;14.авг;6206;
научно-технический;14.авг;6217;
